United States COVID-19 Cases and Deaths by State
Date generated: Wed May 05 2021 12:07:44 GMT-0400 (Eastern Daylight Time)
State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,65678,0,0,892,8978,342,null,null,1,46,121.9,0.1
Alabama,528784,409028,119756,2081,10784,10913,8602,2311,60,222,42.4,1.2
Arkansas,336166,0,0,1397,11139,5747,null,null,27,190,46.3,0.9
American Samoa,0,0,0,0,0,0,null,null,0,0,0,0
Arizona,864579,801127,63452,5092,11878,17344,15410,1934,76,238,70,1
California,3643992,0,0,12252,9222,60763,null,null,560,153,31,1.4
Colorado,514721,481224,33497,11468,8938,6306,5551,755,51,109,199.1,0.9
Connecticut,340545,312397,28148,3612,9552,8112,6673,1439,46,227,101.3,1.3
District of Columbia,47903,0,0,525,6788,1106,null,null,7,156,74.4,1
Delaware,105067,97979,7088,1608,10790,1626,1485,141,9,166,165.1,0.9
Florida,2203807,0,0,33152,10261,35307,null,null,395,164,154.4,1.8
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1103659,882074,221585,9079,10395,20227,17593,2634,218,190,85.5,2.1
Guam,8004,0,0,65,4828,137,null,null,1,82,39.2,0.6
Hawaii,31593,0,0,638,2231,481,null,null,6,33,45.1,0.4
Iowa,365620,0,0,2462,11588,5959,null,null,32,188,78,1
Idaho,188024,150642,37382,1299,10521,2052,1789,263,19,114,72.7,1.1
Illinois,1341777,1341777,0,18607,10589,24389,22047,2342,239,192,146.8,1.9
Indiana,723443,0,0,7975,10746,13350,12938,412,70,198,118.5,1
Kansas,309645,250125,59520,1780,10629,4985,null,null,15,171,61.1,0.5
Kentucky,445449,336553,108896,4283,9970,6525,5888,637,50,146,95.9,1.1
Louisiana,459340,0,0,2908,9881,10393,9469,924,51,223,62.6,1.1
Massachusetts,658145,648249,9896,7038,9549,17496,17288,208,77,253,102.1,1.1
Maryland,450010,0,0,5519,7444,8803,8612,191,115,145,91.3,1.9
Maine,62509,46429,16080,2079,4650,790,764,26,14,58,154.7,1
Michigan,945732,849420,96312,26852,9470,18922,17771,1151,252,189,268.9,2.5
Minnesota,580340,0,0,10900,10290,7256,6769,487,99,128,193.3,1.8
Missouri,587498,0,0,5015,9572,8814,null,null,82,143,81.7,1.3
Northern Mariana Islands,168,168,0,4,0,2,2,0,0,3,0,0
Mississippi,312608,191117,121491,1449,10504,7221,4976,2245,15,242,48.7,0.5
Montana,109092,99030,10062,981,10207,1574,1574,0,11,147,91.8,1
North Carolina,974319,833772,140547,11696,9290,12691,11196,1495,131,121,111.5,1.3
North Dakota,107912,99606,8306,914,14160,1494,null,null,8,196,119.9,1.1
Nebraska,220225,0,0,1135,11385,2245,null,null,3,116,58.7,0.2
New Hampshire,95506,0,0,1571,7024,1305,null,null,19,95,115.5,1.4
New Jersey,1000993,876141,124852,12107,11270,25616,22991,2625,217,288,136.3,2.4
New Mexico,198372,0,0,1528,9461,4073,null,null,46,194,72.9,2.2
Nevada,316239,0,0,2559,10267,5473,null,null,40,177,83.1,1.3
New York,1124156,0,0,13060,10169,19454,null,null,111,175,118.1,1
New York City,932507,769598,162909,8972,11103,32703,27588,5115,269,389,106.8,3.2
Ohio,1075999,903946,172053,10297,9205,19284,19284,0,162,164,88.1,1.4
Oklahoma,449041,354290,94751,1648,11348,6839,5811,1028,49,172,41.7,1.2
Oregon,186877,186877,0,5556,4431,2502,2502,0,16,59,131.7,0.4
Pennsylvania,1158486,975044,183442,22149,9049,26276,null,null,288,205,173,2.3
Puerto Rico,133507,117690,15817,3470,4180,2323,1985,338,44,72,108.7,1.4
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,148669,0,0,1709,14034,2678,null,null,15,252,161.3,1.4
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,580516,482875,97641,4557,11275,9528,null,null,56,185,88.5,1.1
South Dakota,122745,0,0,665,13875,1970,1603,367,10,222,75.2,1.1
Tennessee,849436,701453,147983,6377,12438,12205,9799,2406,54,178,93.4,0.8
Texas,2889561,0,0,20740,9965,49309,null,null,336,170,71.5,1.2
Utah,398240,398240,0,2563,12422,2204,2139,65,21,68,79.9,0.7
Virginia,662696,515249,147447,6662,7764,10823,9110,1713,99,126,78.1,1.2
Virgin Islands,3138,0,0,48,2998,27,null,null,0,25,45.9,0
Vermont,23158,0,0,541,3711,248,null,null,4,39,86.7,0.6
Washington,407191,0,0,9774,5347,5507,null,null,57,72,128.4,0.8
Wisconsin,662069,599576,62493,5137,11371,7567,6839,728,96,129,88.2,1.7
West Virginia,154207,121221,32986,2536,8605,2686,null,null,24,149,141.5,1.3
Wyoming,58290,49224,9066,472,10072,707,707,0,2,122,81.6,0.4
United States of America,32267958,14882146,2333458,339455,9719,574679,286755,33980,4775,173,102.3,1.4
