COVID-19 Vaccinations in the United States
Date generated: Wed May 05 2021 12:07:12 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop
Alaska,772405,105585,140040,563184,76986,550248,99762,308846,42.2,301403,54.6,263754,36.1,258220,46.8,385905,333300,53200,0,14907,251926,296274,77,114627,135281,13827,19,114368,130069,13764,19,249927,42.2,301403,54.6,34.2,244456,44.3,308846,71543,78.1,66575,72.7,38206,26796,1563,10,134853,147239,843347
Alabama,4145390,84545,108664,2644674,53938,2630522,68954,1609919,32.8,1599359,41.9,1179793,24.1,1175911,30.8,2067390,1827400,250600,0,75426,1264353,1304895,0,527340,575207,77187,59,527244,571456,77152,59,1102606,32.8,1599359,41.9,22.5,1098759,28.8,1609919,621096,73.1,504636,59.4,266659,214278,23660,39,1080809,127178,487786
Arkansas,2645650,87668,114152,1834452,60788,1814375,78285,1085254,36,1070997,46.2,795792,26.4,789618,34.1,1316250,1168800,160600,0,56002,864803,913193,454,361475,379514,54695,108,361214,373864,54434,106,741097,36,1070997,46.2,24.6,735184,31.7,1085254,385154,73.5,310108,59.2,178563,122652,8820,73,688285,131382,505009
American Samoa,54030,97021,124387,39125,70256,37815,87057,21904,39.3,21144,48.7,17353,31.2,16806,38.7,37830,15600,600,0,22,8805,30298,0,3851,13473,29,0,3841,12936,29,0,17324,39.3,21144,48.7,31.1,16777,38.6,21904,2466,26,2177,23,874,1297,6,0,4573,48305,570719
Arizona,6918625,95053,122704,5193862,71357,5121843,90837,3009821,41.4,2964712,52.6,2183095,30,2158606,38.3,3567525,2957300,393800,0,139306,2274006,2777430,3120,894007,1153622,134438,1028,893847,1129382,134350,1027,2048657,41.4,2964712,52.6,28.1,2024256,35.9,3009821,1039949,79.5,845298,64.6,414154,404791,25680,673,1935049,147868,528691
Bureau of Prisons,168940,N/A,N/A,154102,N/A,154101,N/A,87107,N/A,87106,N/A,69029,N/A,69029,N/A,95940,65700,7300,0,2788,59996,91318,0,25026,41229,2774,0,25026,41229,2774,0,66255,N/A,87106,N/A,0,66255,0,87107,3033,0,2674,0,1281,1352,41,0,5699,0,0
California,40533720,102585,132387,31468937,79644,30976425,101172,19712296,49.9,19325672,63.1,12676173,32.1,12567383,41,21180120,16954500,2399100,0,1116334,13830580,16518449,3574,5330587,6237909,1106863,814,5324177,6139439,1102955,812,11569310,49.9,19325672,63.1,29.3,11464428,37.4,19712296,5124925,87.8,3920271,67.1,2044556,1760020,115296,399,9005563,154255,694295
Colorado,5598750,97222,124438,4602145,79916,4529994,100684,2722484,47.3,2669964,59.3,1972476,34.3,1952339,43.4,2903550,2391900,303300,0,147793,2067551,2385589,1212,848640,977609,145883,344,847731,958960,145308,340,1826593,47.3,2669964,59.3,31.7,1807031,40.2,2722484,702305,83.4,613493,72.8,308452,291742,13148,151,1324741,157256,664609
Connecticut,3955085,110933,139369,3336074,93571,3282301,115662,1995763,56,1953176,68.8,1447776,40.6,1437349,50.6,2110485,1614500,230100,0,126565,1360576,1848674,259,564186,756911,126621,58,563914,746864,126513,58,1321155,56,1953176,68.8,37.1,1310836,46.2,1995763,571781,90.7,514187,81.6,202334,299668,12165,20,1086164,172340,627548
District of Columbia,875555,124060,151590,621149,88013,618574,107097,347171,49.2,344663,59.7,220887,31.3,220085,38.1,481455,347700,46400,0,20920,242573,357619,37,79839,116296,24721,31,79829,115521,24706,29,196166,49.2,344663,59.7,27.8,195379,33.8,347171,67976,77.8,52711,60.3,28960,22094,1648,9,147682,169083,1002430
