United States COVID-19 Cases and Deaths by State
Date generated: Thu Mar 11 2021 20:09:24 GMT-0500 (Eastern Standard Time)

State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000
Alaska,57449,0,0,844,7853,301,null,null,2,41,115.4,0.3
Alabama,501398,393278,108120,4244,10226,10222,8035,2187,193,208,86.6,3.9
Arkansas,325700,0,0,2347,10793,5382,null,null,121,178,77.8,4
American Samoa,4,0,0,0,7,0,null,null,0,0,0,0
Arizona,828630,771541,57089,8676,11384,16404,14477,1927,315,225,119.2,4.3
California,3513678,0,0,28715,8893,54621,null,null,1846,138,72.7,4.7
Colorado,439265,413827,25438,7595,7628,6003,5269,734,33,104,131.9,0.6
Connecticut,288657,268555,20102,5035,8096,7752,6371,1381,74,217,141.2,2.1
District of Columbia,42006,0,0,1188,5952,1037,null,null,14,146,168.3,2
Delaware,88891,84102,4789,1466,9129,1492,1355,137,52,153,150.6,5.3
Florida,1921548,0,0,32823,8947,31948,null,null,681,148,152.8,3.2
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0
Georgia,1028432,831271,197161,13890,9686,18036,15706,2330,411,169,130.8,3.9
Guam,7758,0,0,11,4680,133,null,null,2,80,6.6,1.2
Hawaii,27154,0,0,357,1918,445,null,null,7,31,25.2,0.5
Iowa,341102,0,0,3416,10811,5601,null,null,100,177,108.3,3.2
Idaho,174246,140663,33583,1958,9750,1901,1668,233,25,106,109.6,1.4
Illinois,1202709,1202709,0,11189,9491,23067,20810,2257,214,182,88.3,1.7
Indiana,669164,0,0,5653,9940,12775,12350,425,142,189,84,2.1
Kansas,297229,241035,56194,2120,10202,4851,null,null,35,166,72.8,1.2
Kentucky,412924,315777,97147,5551,9242,4884,4429,455,180,109,124.3,4
Louisiana,435514,0,0,3743,9368,9812,9084,728,144,211,80.5,3.1
Massachusetts,572290,562394,9896,9174,8303,16384,16176,208,251,237,133.1,3.6
Maryland,390490,0,0,5725,6459,8014,7832,182,92,132,94.7,1.5
Maine,46441,36221,10220,1214,3455,723,700,23,18,53,90.3,1.3
Michigan,662572,601284,61288,11810,6634,16700,15707,993,150,167,118.3,1.5
Minnesota,493013,0,0,6579,8742,6773,6337,436,198,120,116.7,3.5
Missouri,564300,0,0,84764,9194,8300,null,null,150,135,1381.1,2.4
Northern Mariana Islands,146,146,0,2,0,2,2,0,0,3,0,0
Mississippi,299124,184847,114277,2970,10051,6864,4773,2091,100,230,99.8,3.4
Montana,101243,95009,6234,892,9473,1387,1387,0,14,129,83.5,1.3
North Carolina,877764,763550,114214,12210,8369,11595,10253,1342,232,110,116.4,2.2
North Dakota,100615,95029,5586,548,13203,1451,null,null,3,190,71.9,0.4
Nebraska,203890,0,0,1917,10540,2122,null,null,30,109,99.1,1.6
New Hampshire,77463,0,0,1473,5697,1187,null,null,12,87,108.3,0.9
New Jersey,822817,729403,93414,23341,9264,23768,21294,2474,319,267,262.8,3.6
New Mexico,187487,0,0,1589,8942,3839,null,null,86,183,75.8,4.1
Nevada,297147,0,0,2463,9647,5067,null,null,80,164,80,2.6
New York,950806,0,0,23056,8601,18303,null,null,211,165,208.6,1.9
New York City,767535,644461,123074,26410,9139,30059,25024,5035,422,357,314.5,5
Ohio,983486,839391,144095,10881,8414,17825,17825,0,636,152,93.1,5.4
Oklahoma,430944,341452,89492,2680,10891,4754,4167,587,124,120,67.7,3.1
Oregon,158291,158291,0,2004,3753,2305,2305,0,53,54,47.5,1.3
Pennsylvania,955730,819783,135947,17319,7466,24439,null,null,270,190,135.3,2.1
Puerto Rico,102051,93983,8068,1184,3195,2071,1760,311,18,64,37.1,0.6
Palau,0,0,0,0,0,0,null,null,0,0,0,0
Rhode Island,129595,0,0,2310,12233,2559,null,null,25,241,218.1,2.4
Republic of Marshall Islands,4,4,0,0,7,0,null,null,0,0,0,0
South Carolina,528473,451597,76876,5954,10264,8781,null,null,50,170,115.6,1
South Dakota,113962,0,0,1129,12882,1904,1546,358,11,215,127.6,1.2
Tennessee,786597,656682,129915,8662,11518,11606,9329,2277,147,169,126.8,2.2
Texas,2699589,0,0,36175,9310,44875,null,null,1312,154,124.8,4.5
Utah,376327,376327,0,3619,11738,1992,1936,56,37,62,112.9,1.2
Virginia,590626,465240,125386,9218,6920,9903,8275,1628,546,116,108,6.4
Virgin Islands,2761,0,0,66,2638,25,null,null,0,23,63.1,0
Vermont,16371,0,0,884,2624,211,null,null,4,33,141.7,0.6
Washington,347131,0,0,4895,4559,5100,null,null,88,66,64.3,1.2
Wisconsin,623150,567850,55300,4063,10703,7150,6524,626,81,122,69.8,1.4
West Virginia,134158,107100,27058,1742,7486,2330,null,null,21,130,97.2,1.2
Wyoming,55014,46588,8426,398,9506,691,691,0,9,119,68.8,1.6
United States of America,29052862,13299391,1938389,470141,8751,527726,263397,31421,10391,158,141.6,3.1
